1,1,1,1,1,2,11,13,2
1,1,1,2,1,1,22.50,24,1.5
1,1,1,3,1,1,42,43.5,1.5
2,1,2,3,1,1,42,43.5,1.5
2,1,2,4,1,3,54,60,6
3,1,3,2,2,2,11,13,2
3,1,3,3,2,1,42,43.5,1.5
3,1,3,4,2,3,54,60,6
3,1,3,5,2,1,135,139,4
4,1,1,1,1,2,11,13,2
4,1,1,2,1,1,22.50,24,1.5
5,1,2,3,1,1,42,43.5,1.5
5,1,2,4,1,3,54,60,6
6,1,3,2,2,2,11,13,2
6,1,3,5,2,1,135,139,4
7,2,1,4,3,3,54,60,6
7,2,1,5,3,1,135,139,4
8,1,1,3,1,2,84,87,3
8,1,1,4,1,3,54,60,3
9,1,2,1,1,1,5.5,6.5,1
9,1,2,2,1,1,22.50,24,1.5
10,1,3,1,2,2,11,13,2
10,1,3,4,2,3,54,60,6
11,2,1,2,3,1,5.5,6.5,1
11,2,1,3,3,1,42,43.5,1.5
